ID,OWC.x,DQ,allhazards_est_count_30,allhazards_sev_exposure_30,disaster_sev_exposure_30,allhazards_H9a_sev_exposure_30,disaster_h9a_sev_exposure_30,fd3_est_count_30,allhazards_threat_est_count_30,allhazards_onset_avg_30,allhazards_pred_avg_30,normative_est_count_30,normative_onset_avg_30,normative_pred_avg_30,normative_severe_avg_30,normative_freq_30,disaster_threat_est_count_30,disaster_est_count_30,disaster_onset_avg_30,disaster_pred_avg_30,disaster_severe_avg_30,disaster_freq_30,normative_freq_30_IA,disaster_freq_30_IA,normative_est_count_30_IA,disaster_est_count_30_IA,disaster_threat_est_count_30_IA,allhazards_est_count_30_IA,fd3_est_count_30_IA,allhazards_threat_est_count_30_IA,allhazards_sev_exposure_30_IA,disaster_sev_exposure_30_IA,allhazards_H9a_sev_exposure_30_IA,disaster_h9a_sev_exposure_30_IA,SOCIETY NAME,OWC.y,EA-SUB-PER,GA-CAL1-R,GA-CAL1A-R,GA-CAL1B-R,GA-CAL1C-R,HU-CAL1-R,HU-CAL1A-R,HU-CAL1B-R,HU-CAL1C-R,FI-CAL1-R,FI-CAL1A-R,FI-CAL1B-R,FI-CAL1C-R,AH-CAL1-R,AH-CAL1A-R,AH-CAL1B-R,AH-CAL1C-R,AG-CAL1-R,AG-CAL1A-R,AG-CAL1B-R,AG-CAL1C-R,GA_practiced,HU_practiced,FI_practiced,AH_practiced,AG_practiced,GA-CAL1B-R_increasing,HU-CAL1B-R_increasing,FI-CAL1B-R_increasing,AH-CAL1B-R_increasing,AG-CAL1B-R_increasing,GA_pair,HU_pair,FI_pair,AH_pair,AG_pair,GA_ca_gt0,HU_ca_gt0,FI_ca_gt0,AH_ca_gt0,AG_ca_gt0,pair_coverage_count,ca_gt0_count,any_domain_pair,domain,EA_score,CAL1_score,ca_ea_pair_score,pair_domain
1,FX13,2,23,6.5,1,6.5,1,1,NA,1.95652173913043,1.95652173913043,20,2,2,2,7,NA,1,1,1,3,3,7,3,20,1,0,23,1,0,6.5,1,6.5,1,Khoi,FX13,"1,3,1,5,0",2,3,1,1,2,2.5,1,5,2,2,1.5,5,1,3,1,4,0,0,0,0,1,1,1,1,1,4,4,NA,4,0,0,0,0,1,0,0,0,0,1,0,1,1,1,AH,5,1,5,AH
2,FX10,1,49,24.25,14,24,14,9,1,1.89795918367347,2.89795918367347,40,2,3,2,7,NA,9,1.44444444444444,2.44444444444444,3.55555555555556,5,7,5,40,9,0,49,9,1,24.25,14,24,14,San,FX10,"8,2,0,0,0",1,2,2,2,2,2,4,4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,GA,8,1,8,GA
5,FP13,3,6,10,10,4,4,2,NA,1.66666666666667,2,NA,NA,NA,NA,NA,NA,6,1.66666666666667,2,3.66666666666667,5,NA,5,NA,6,NA,6,2,NA,10,10,4,4,Ovimbundu,FP13,"1,1,1,2,5",NA,NA,NA,NA,1,2.75,4,4,2,3,NA,3,0,0,0,0,1,0,0,0,NA,1,1,1,1,NA,1,NA,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,5,1,5,AG
7,FQ05,2,20,5.5,NA,5.5,NA,NA,2,2,3,20,2,3,2,7,NA,NA,NA,NA,NA,NA,7,1,20,0,0,20,0,2,5.5,0,5.5,0,Bemba,FQ05,"1,1,1,0,7",2,1,2,1,1,1,4,5,1,3,3,3.5,0,0,0,0,1,2,3,3,1,1,1,0,1,3,1,2,0,2,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,7,1,7,AG
8,FN17,2,20,6,NA,1,NA,NA,2,2,3,20,2,3,2,7,NA,NA,NA,NA,NA,NA,7,1,20,0,0,20,0,2,6,0,1,0,Nyakyusa and Ngonde,FN17,"0,1,1,2,6",0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,5,1,0,0,0,0,1,1,1,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,6,1,6,AG
12,FK07,1,40,16,1,11,1,NA,1,2,2.5,40,2,2.5,2.25,7,1,NA,NA,NA,NA,2,7,2,40,0,1,40,0,1,16,1,11,1,Ganda,FK07,"0,1,1,1,7",NA,NA,NA,NA,2,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,1,NA,NA,1,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,1,0,1,AG,7,0,0,AG
13,FO04,2,11,7.5,6,7,6,5,NA,2,1,NA,NA,NA,NA,NA,NA,5,2,1,3.2,5,1,5,0,5,0,11,5,0,7.5,6,7,6,Mbuti,FO04,"6,3,1,0,0",1,1.5,4,NA,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,4,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,1,1,1,GA,6,1,6,GA
16,FF57,2,6,1.5,NA,1.5,NA,NA,NA,1.33333333333333,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,6,0,0,1.5,0,1.5,0,Tiv,FF57,"1,2,1,1,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,3,1,2,2,4,NA,NA,NA,1,1,NA,NA,NA,1,3,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,5,1,5,AG
21,MS30,2,22,7,2,7,2,2,NA,1.95454545454545,2.81818181818182,20,2,3,2,7,NA,2,1.5,1,3,4,7,4,20,2,0,22,2,0,7,2,7,2,Wolof,MS30,"0,0,1,3,6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,4,NA,NA,NA,NA,1,NA,NA,NA,NA,4,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,6,2,12,AG
22,FA08,3,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,2,NA,NA,1,NA,NA,1,1,1,1,1,Bambara,FA08,"2,0,1,2,5",1,3,2,NA,1,3,2,NA,1,3,2,NA,0,0,0,0,1,3,1,3,1,1,1,1,1,3,3,3,0,4,0,0,0,0,1,0,0,0,0,1,1,1,1,AG,5,1,5,AG
