"SCCS ID","SOCIETY NAME","OWC","EA-SUB-PER","EA-GA","EA-HU","EA-FI","EA-AH","EA-AG","subsistence_domain","CAL1","CAL1A_scale_of_sub","CAL1B_frequency","CAL1C_gender","practiced","cooperation_present","EA_dependence"
116,"Korea","AA01","0,0,2,2,6",0,0,2,2,6,"GA",NA,NA,NA,NA,0,NA,0
116,"Korea","AA01","0,0,2,2,6",0,0,2,2,6,"HU",NA,NA,NA,NA,0,NA,0
116,"Korea","AA01","0,0,2,2,6",0,0,2,2,6,"FI",NA,NA,NA,NA,NA,NA,2
116,"Korea","AA01","0,0,2,2,6",0,0,2,2,6,"AH",NA,NA,NA,NA,NA,NA,2
116,"Korea","AA01","0,0,2,2,6",0,0,2,2,6,"AG",2,2,4,3,1,1,6
118,"Ainu","AB06","2,3,4,0,1",2,3,4,0,1,"GA",1,1,2,NA,1,1,2
118,"Ainu","AB06","2,3,4,0,1",2,3,4,0,1,"HU",2,1.5,2,4,1,1,3
118,"Ainu","AB06","2,3,4,0,1",2,3,4,0,1,"FI",2,1.5,1,3,1,1,4
118,"Ainu","AB06","2,3,4,0,1",2,3,4,0,1,"AH",NA,NA,NA,NA,0,NA,0
118,"Ainu","AB06","2,3,4,0,1",2,3,4,0,1,"AG",NA,NA,NA,NA,NA,NA,1
117,"Okayama","AB43","0,0,2,1,7",0,0,2,1,7,"GA",NA,NA,NA,NA,0,NA,0
117,"Okayama","AB43","0,0,2,1,7",0,0,2,1,7,"HU",NA,NA,NA,NA,0,NA,0
117,"Okayama","AB43","0,0,2,1,7",0,0,2,1,7,"FI",2,3,1,5,1,1,2
117,"Okayama","AB43","0,0,2,1,7",0,0,2,1,7,"AH",NA,NA,NA,NA,NA,NA,1
117,"Okayama","AB43","0,0,2,1,7",0,0,2,1,7,"AG",1,3,2,3,1,1,7
NA,"Taiwan Hokkien","AD05",NA,NA,NA,NA,NA,NA,"GA",NA,NA,NA,NA,NA,NA,NA
NA,"Taiwan Hokkien","AD05",NA,NA,NA,NA,NA,NA,"HU",NA,NA,NA,NA,NA,NA,NA
NA,"Taiwan Hokkien","AD05",NA,NA,NA,NA,NA,NA,"FI",NA,NA,NA,NA,NA,NA,NA
NA,"Taiwan Hokkien","AD05",NA,NA,NA,NA,NA,NA,"AH",0,0,0,NA,1,0,NA
NA,"Taiwan Hokkien","AD05",NA,NA,NA,NA,NA,NA,"AG",1,2,2,4,1,1,NA
66,"Mongolia","AH01","0,1,0,8,1",0,1,0,8,1,"GA",NA,NA,NA,NA,0,NA,0
66,"Mongolia","AH01","0,1,0,8,1",0,1,0,8,1,"HU",NA,NA,NA,NA,NA,NA,1
66,"Mongolia","AH01","0,1,0,8,1",0,1,0,8,1,"FI",NA,NA,NA,NA,0,NA,0
66,"Mongolia","AH01","0,1,0,8,1",0,1,0,8,1,"AH",2,3,4,3,1,1,8
66,"Mongolia","AH01","0,1,0,8,1",0,1,0,8,1,"AG",0,0,0,NA,1,0,1
68,"Lepcha","AK05","0,1,0,3,6",0,1,0,3,6,"GA",NA,NA,NA,NA,0,NA,0
68,"Lepcha","AK05","0,1,0,3,6",0,1,0,3,6,"HU",NA,NA,NA,NA,NA,NA,1
68,"Lepcha","AK05","0,1,0,3,6",0,1,0,3,6,"FI",NA,NA,NA,NA,0,NA,0
68,"Lepcha","AK05","0,1,0,3,6",0,1,0,3,6,"AH",NA,NA,NA,NA,NA,NA,3
68,"Lepcha","AK05","0,1,0,3,6",0,1,0,3,6,"AG",2,3,4,3,1,1,6
