"","ID","allhazards_onset_avg_30","disaster_est_count_30_IA","normative_est_count_30_IA","allhazards_H9a_sev_exposure_30_IA","allhazards_nonfd_sev_exposure2_30_IA","cluster","eHRAF.Name","OWC","SCCS.ID","PSF.Cluster","new PSF cases","IBSS Sample","SRS.SEQ","EA.ID","SCCS/EA concordance","New Cases to Code","Coded for hazards (total sample)","EP Used","Place Focus Used","Documents used in Hazards 2022 coding","Expanded beyond PAs (per Hazards 2022)","Potential diachronic case","Diachronic details","New PSF cases (no PAs or EP previously assigned)","Coded for TL","Region","Subsistence Type","...23","...24","...25","...26","...27","...28","DO NOT USE [SCCS.Principal.Authorities (eHRAF document IDs)]","DQ"
"1",2,1.89795918367347,9,40,24,0.25,1,"San","FX10",2,NA,NA,1,NA,"Aa01","Y",NA,1,1950,"Nyae Nyae region, Namibia","11, 6, 15, 17, 9",NA,0,NA,NA,"1","Africa","hunter-gatherers",NA,NA,NA,NA,NA,NA,"1, 5, 6, 9, 11, 12, 13, 15, 17",1
"2",12,2,0,40,11,0,1,"Ganda","FK07",12,"4",NA,1,1,"Ad07","Y",NA,1,1875,"Kyaddondo District around Kampala","2",NA,1,"Y - PSF (3)",NA,"1","Africa","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"2",1
"3",25,1.88235294117647,8,20,12.75,1,1,"Fulani","MS11",25,NA,NA,1,NA,"Cb24","Y",NA,1,1951,"Wodaabe of Niger","2, 4",NA,0,NA,NA,"1","Middle East","pastoralists",NA,NA,NA,NA,NA,NA,"2, 3, 4, 5(partial)",1
"4",35,1.91666666666667,4,40,15,6,1,"Konso","MP17",35,NA,NA,1,NA,"Ca01","Y",NA,1,1935,"Town of Buso","1, 3, 4",NA,0,NA,NA,"1","Middle East","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"1, 2, 3, 4",1
"5",43,2,4,20,10,1,1,"Fellahin","MR13",43,NA,NA,1,NA,"Cd02","Y",NA,1,1950,"Town and environs of Silwa","1, 3","1",0,NA,NA,"1","Middle East","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"1",3
"6",53,2,1,40,18,0,1,"Nenets","RU41",53,NA,NA,1,NA,"Ec04","Y",NA,1,1894,"Entirety, tribe.","15, 2",NA,1,"Y - Hazards",NA,"1","Russia","primarily hunter-gatherers",NA,NA,NA,NA,NA,NA,"2, 15",1
"7",64,1.04761904761905,20,0,20,0.25,1,"Burusho","AV07",64,NA,NA,1,NA,"Ee02","Y",NA,1,1934,"Hunza State","3, 1, 2, 9",NA,0,NA,NA,"1","Asia","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"1, 2, 3",2
"8",92,1.5,0,40,15,0,1,"Orokaiva","OJ23",92,NA,NA,1,NA,"Ie09",NA,NA,1,1925,"Northern District, Papua New Guinea","1, 2",NA,0,NA,NA,"1","Oceania","other subsistence combinations",NA,NA,NA,NA,NA,NA,"1, 2",2
"9",93,2,7,20,21,0,1,"Kimam","OJ82",93,NA,NA,1,NA,"Ie18",NA,NA,1,1960,"Bamol village","1",NA,0,NA,NA,"1","Oceania","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"1, 2",1
"10",116,1.87878787878788,9,20,12.25,5.25,1,"Korea","AA01",116,"25",NA,1,NA,"Ed01","Y",NA,1,1947,"Sondup’o village, Samku Li town, Kanghwa Island","18, 67, 46, 25, 51, 6, 65, 9, 1, 55, 8, 7","1",1,"Y - Hazards; PSF (4)",NA,"1","Asia","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"19, 22",3
"11",117,1.08510638297872,7,40,21.25,0,1,"Okayama","AB43",117,NA,NA,1,NA,"Ed05",NA,NA,1,1950,"Okayama prefecture","1, 10, 9",NA,0,NA,NA,"1","Asia","intensive agriculturalists",NA,NA,NA,NA,NA,NA,"1, 9, 10",1
"12",144,1.72727272727273,9,0,12,0.5,1,"Huron/Wendat","NG05",144,NA,NA,1,NA,"Ng01","Y",NA,1,1634,"Not specified","6, 5, 9, 1, 4",NA,0,NA,NA,"1","North America","other subsistence combinations",NA,NA,NA,NA,NA,NA,"1(partial), 2(caution), 4(partial), 5(partial), 6(partial), 9(partial)",1
"13",172,1.61538461538462,13,0,18,0,1,"Aymara","SF05",172,"53",NA,1,NA,"Sf02","Y",NA,1,1940,"Chucuito, Peru","3, 2",NA,1,"Y - PSF (2)",NA,"1","South America","horticulturalists",NA,NA,NA,NA,NA,NA,"2",1
"14",201,1.90909090909091,10,20,21.25,5.25,1,"Taiwan Hokkien","AD05",NA,"26",1,NA,NA,NA,NA,1,1,1959,"Hsin Hsing Village, Northern Taiwan","1, 4","Gallin 1966, Barnett 1971",0,"N - PSF",1,"1","Asia","intensive agriculturalists",NA,NA,NA,NA,NA,NA,NA,1
"15",206,1.5,0,40,17,0,1,"Dogon","FA16",NA,"8",1,NA,NA,"Ag03",NA,1,1,1930,"Sanga, Mpoti Region","1, 2",NA,1,"Y - TL; N - PSF",NA,"1","Africa","intensive agriculturalists",NA,NA,NA,NA,NA,NA,NA,2
