"","ID","allhazards_onset_avg_30","disaster_est_count_30_IA","normative_est_count_30_IA","allhazards_H9a_sev_exposure_30_IA","allhazards_nonfd_sev_exposure2_30_IA","cluster","OWC","eHRAF.Name","Region","DQ"
"1",2,1.89795918367347,9,40,24,0.25,1,"FX10","San","Africa",1
"2",25,1.88235294117647,8,20,12.75,1,1,"MS11","Fulani","Middle East",1
"3",36,1.33333333333333,8,0,11.25,0,1,"MO04","Somali","Middle East",2
"4",64,1.04761904761905,20,0,20,0.25,1,"AV07","Burusho","Asia",2
"5",93,2,7,20,21,0,1,"OJ82","Kimam","Oceania",1
"6",100,1.85714285714286,7,0,11,0,1,"OT11","Tikopia","Oceania",1
"7",116,1.87878787878788,9,20,12.25,5.25,1,"AA01","Korea","Asia",3
"8",117,1.08510638297872,7,40,21.25,0,1,"AB43","Okayama","Asia",1
"9",124,1.83333333333333,6,0,12,0,1,"ND08","Copper Inuit","North America",1
"10",144,1.72727272727273,9,0,12,0.5,1,"NG05","Huron/Wendat","North America",1
"11",172,1.61538461538462,13,0,18,0,1,"SF05","Aymara","South America",1
"12",201,1.90909090909091,10,20,21.25,5.25,1,"AD05","Taiwan Hokkien","Asia",1
"13",4,1.04545454545455,0,20,6,0,2,"FQ09","Lozi","Africa",1
"14",13,2,5,0,7,0.5,2,"FO04","Mbuti","Africa",2
"15",16,1.33333333333333,0,0,1.5,0,2,"FF57","Tiv","Africa",2
"16",19,1.33333333333333,2,0,0,4.25,2,"FE12","Akan","Africa",2
"17",23,1.5,6,0,9.5,0,2,"FE11","Tallensi","Africa",2
"18",30,1.5,4,0,4,0,2,"FJ21","Nuba","Africa",2
"19",34,1,3,0,6,0,2,"FL12","Maasai","Africa",1
"20",37,1.04761904761905,1,20,5,2,2,"MP05","Amhara","Middle East",2
"21",40,1.66666666666667,6,0,8,0,2,"MS22","Teda","Middle East",1
"22",46,1.66666666666667,2,0,3.5,0,2,"MD04","Rwala Bedouin","Middle East",1
"23",47,1.5,4,0,3,2,2,"MB01","Turks","Middle East",1
"24",58,1.5,3,0,3.25,0,2,"MA10","Basseri","Middle East",2
"25",59,1,6,0,5.25,0,2,"AT03","West Punjabi","Asia",1
"26",62,1,4,0,8,0,2,"AW42","Santal","Asia",2
"27",70,2,1,0,2,0,2,"AR20","Mara","Asia",2
"28",72,1,0,20,5,0,2,"AM28","Rmeet","Asia",2
"29",76,1,6,10,9.5,0,2,"AO07","Central Thai","Asia",1
"30",83,2,3,0,0,2,2,"OE05","Javanese","Oceania",2
"31",85,1.5,2,0,2,0.5,2,"OC06","Iban","Oceania",1
"32",91,1,2,0,2,0,2,"OI08","Aranda","Oceania",2
"33",102,1.5,2,0,1,2,2,"OQ12","Bau Fijians","Oceania",1
"34",108,2,1,0,2.5,0,2,"OR11","Marshallese","Oceania",1
"35",109,2,4,0,4.5,0.75,2,"OR19","Chuuk","Oceania",1
"36",110,1.5,4,0,6,0,2,"OR22","Yapese","Oceania",2
