"","ID","disaster_est_count_30_IA","normative_est_count_30_IA","allhazards_H9a_sev_exposure_30_IA","allhazards_nonfd_sev_exposure2_30_IA","cluster","OWC","eHRAF.Name","Region","DQ"
"1",13,5,0,7,0.5,1,"FO04","Mbuti","Africa",2
"2",16,0,0,1.5,0,1,"FF57","Tiv","Africa",2
"3",19,2,0,0,4.25,1,"FE12","Akan","Africa",2
"4",23,6,0,9.5,0,1,"FE11","Tallensi","Africa",2
"5",30,4,0,4,0,1,"FJ21","Nuba","Africa",2
"6",32,0,0,0.25,0,1,"MP19","Mao","Middle East",2
"7",34,3,0,6,0,1,"FL12","Maasai","Africa",1
"8",40,6,0,8,0,1,"MS22","Teda","Middle East",1
"9",46,2,0,3.5,0,1,"MD04","Rwala Bedouin","Middle East",1
"10",47,4,0,3,2,1,"MB01","Turks","Middle East",1
"11",58,3,0,3.25,0,1,"MA10","Basseri","Middle East",2
"12",59,6,0,5.25,0,1,"AT03","West Punjabi","Asia",1
"13",62,4,0,8,0,1,"AW42","Santal","Asia",2
"14",70,1,0,2,0,1,"AR20","Mara","Asia",2
"15",71,0,0,0,0,1,"AP04","Burmans","Asia",2
"16",79,2,0,4,0,1,"AZ02","Andamans","Asia",1
"17",83,3,0,0,2,1,"OE05","Javanese","Oceania",2
"18",85,2,0,2,0.5,1,"OC06","Iban","Oceania",1
"19",91,2,0,2,0,1,"OI08","Aranda","Oceania",2
"20",102,2,0,1,2,1,"OQ12","Bau Fijians","Oceania",1
"21",108,1,0,2.5,0,1,"OR11","Marshallese","Oceania",1
"22",109,4,0,4.5,0.75,1,"OR19","Chuuk","Oceania",1
"23",110,4,0,6,0,1,"OR22","Yapese","Oceania",2
"24",119,0,0,2,0,1,"RX02","Nivkh","Russia",2
"25",131,0,0,0,0,1,"NE09","Haida","North America",2
"26",138,2,0,4.5,0,1,"NR10","Klamath","North America",1
"27",150,4,0,5,0,1,"NT14","Havasupai","North America",1
"28",154,1,0,1,0,1,"NU30","Popoluca","North America",2
"29",158,0,0,0,0,1,"SB05","Kuna","South America",1
"30",159,5,0,6,0,1,"SC13","Goajiro","South America",1
"31",163,0,0,0,0,1,"SQ18","Yanoama","South America",1
"32",179,0,0,0,0,1,"SP26","Xavante","South America",1
"33",182,6,0,6.5,0,1,"SK15","Enxet and Enlhet","South America",2
"34",184,5,0,6,0,1,"SG04","Mapuche","South America",1
"35",185,0,0,0.75,0.5,1,"SH05","Tehuelche","South America",1
"36",205,4,0,6,0,1,"ES10","Highland Scots","Europe",1
"37",208,3,0,5,0,1,"MT09","Libyan Bedouin","Middle East",1
"38",209,2,0,4,0,1,"MW11","Shluh","Middle East",2
"39",213,0,0,0,0,1,"NT09","Hopi","North America",2
"40",219,0,0,0,0,1,"SC07","Kogi","South America",2
"41",2,9,40,24,0.25,2,"FX10","San","Africa",1
"42",25,8,20,12.75,1,2,"MS11","Fulani","Middle East",1
"43",36,8,0,11.25,0,2,"MO04","Somali","Middle East",2
