"","ID","allhazards_est_count_30_IA","disaster_est_count_30_IA","normative_est_count_30_IA","allhazards_H9a_sev_exposure_30_IA","allhazards_sev_exposure_30_IA","cluster"
"1",1,23,1,20,6.5,6.5,1
"2",4,22,0,20,6,6,1
"3",7,20,0,20,5.5,5.5,1
"4",8,20,0,20,1,6,1
"5",21,22,2,20,7,7,1
"6",24,20,0,20,0,5,1
"7",26,26,4,20,4.5,9.5,1
"8",27,22,2,20,9,9,1
"9",28,22,2,20,9,9,1
"10",37,21,1,20,5,7,1
"11",43,24,4,20,10,11,1
"12",51,22,1,20,1.5,6.5,1
"13",52,31,2,20,3.25,15.75,1
"14",54,24,1,20,0.25,7.25,1
"15",60,21,1,20,2,7,1
"16",66,21,1,20,6,6,1
"17",72,20,0,20,5,5,1
"18",76,20,6,10,9.5,12.5,1
"19",87,26,5,20,5,12.5,1
"20",94,20,0,20,5,5,1
"21",98,23,3,20,2,8,1
"22",106,26,2,20,8,8,1
"23",112,24,4,20,9,9,1
"24",118,24,0,20,2,8,1
"25",121,21,1,20,7,7,1
"26",130,20,0,20,5,5,1
"27",136,20,0,20,0,5,1
"28",156,20,0,20,0,5,1
"29",162,20,0,20,0,5,1
"30",167,20,0,20,5,5,1
"31",168,20,0,20,0,5,1
"32",186,20,0,20,0,5,1
"33",204,20,0,20,7,7,1
"34",215,24,1,20,1,7,1
"35",217,25,1,20,3,9,1
"36",220,20,0,20,5,5,1
"37",222,25,5,20,11,11,1
"38",223,20,0,20,0,5,1
"39",13,11,5,0,7,7.5,2
"40",16,6,0,0,1.5,1.5,2
"41",19,3,2,0,0,4.25,2
"42",23,8,6,0,9.5,9.5,2
"43",30,4,4,0,4,4,2
"44",32,0,0,0,0.25,0.25,2
"45",34,3,3,0,6,6,2
"46",36,9,8,0,11.25,11.25,2
"47",40,6,6,0,8,8,2
"48",46,3,2,0,3.5,3.5,2
"49",47,4,4,0,3,5,2
"50",58,4,3,0,3.25,3.25,2
"51",59,6,6,0,5.25,7,2
"52",62,4,4,0,8,8,2
"53",70,1,1,0,2,2,2
"54",71,0,0,0,0,0,2
"55",79,2,2,0,4,4,2
"56",83,3,3,0,0,4,2
"57",85,4,2,0,2,2.5,2
"58",91,2,2,0,2,2,2
"59",100,7,7,0,11,13,2
"60",102,2,2,0,1,3,2
"61",108,2,1,0,2.5,2.5,2
"62",109,7,4,0,4.5,5.25,2
"63",110,4,4,0,6,6,2
"64",119,0,0,0,2,2,2
"65",124,6,6,0,12,12,2
"66",131,0,0,0,0,0,2
"67",138,4,2,0,4.5,4.5,2
"68",144,11,9,0,12,12.5,2
"69",150,4,4,0,5,6,2
"70",154,1,1,0,1,1,2
"71",158,0,0,0,0,0,2
"72",159,5,5,0,6,6,2
"73",163,0,0,0,0,0,2
"74",172,13,13,0,18,18,2
"75",179,0,0,0,0,0,2
"76",182,8,6,0,6.5,6.5,2
"77",184,5,5,0,6,6,2
"78",185,5,0,0,0.75,1.25,2
"79",205,4,4,0,6,6,2
"80",208,3,3,0,5,5,2
"81",209,2,2,0,4,4,2
"82",213,0,0,0,0,0,2
"83",219,0,0,0,0,0,2
"84",2,49,9,40,24,24.25,3
"85",12,40,0,40,11,16,3
"86",25,34,8,20,12.75,16,3
"87",35,48,4,40,15,21,3
"88",53,45,1,40,18,18,3
"89",64,21,20,0,20,20.25,3
"90",92,40,0,40,15,15,3
"91",93,27,7,20,21,21,3
"92",99,52,0,40,3,15,3
"93",116,33,9,20,12.25,18,3
"94",117,47,7,40,21.25,21.25,3
"95",151,56,14,40,25,25,3
"96",201,33,10,20,21.25,26.5,3
"97",206,40,0,40,17,17,3
"98",210,52,7,40,5,20.25,3
"99",214,46,2,40,15,15,3
