"","ID","disaster_est_count_30_IA","normative_est_count_30_IA","allhazards_H9a_sev_exposure_30_IA","allhazards_nonfd_sev_exposure2_30_IA","cluster","eHRAF.Name","Region","DQ"
"1",1,1,20,6.5,0,1,"Khoi","Africa",2
"2",2,9,40,24,0.25,2,"San","Africa",1
"3",4,0,20,6,0,1,"Lozi","Africa",1
"4",7,0,20,5.5,0,1,"Bemba","Africa",2
"5",8,0,20,1,5,3,"Nyakyusa and Ngonde","Africa",2
"6",12,0,40,11,0,1,"Ganda","Africa",1
"7",13,5,0,7,0.5,4,"Mbuti","Africa",2
"8",16,0,0,1.5,0,4,"Tiv","Africa",2
"9",19,2,0,0,4.25,4,"Akan","Africa",2
"10",21,2,20,7,0,1,"Wolof","Middle East",2
"11",23,6,0,9.5,0,4,"Tallensi","Africa",2
"12",24,0,20,0,5,3,"Songhai","Middle East",2
"13",25,8,20,12.75,1,4,"Fulani","Middle East",1
"14",26,4,20,4.5,5,3,"Hausa","Middle East",2
"15",27,2,20,9,0,1,"Masa","Africa",2
"16",30,4,0,4,0,4,"Nuba","Africa",2
"17",32,0,0,0.25,0,4,"Mao","Middle East",2
"18",34,3,0,6,0,4,"Maasai","Africa",1
"19",35,4,40,15,6,2,"Konso","Middle East",1
"20",36,8,0,11.25,0,4,"Somali","Middle East",2
"21",37,1,20,5,2,1,"Amhara","Middle East",2
"22",40,6,0,8,0,4,"Teda","Middle East",1
"23",43,4,20,10,1,4,"Fellahin","Middle East",3
"24",46,2,0,3.5,0,4,"Rwala Bedouin","Middle East",1
"25",47,4,0,3,2,4,"Turks","Middle East",1
"26",51,1,20,1.5,5,3,"Rural Irish","Europe",3
"27",52,2,20,3.25,12,3,"Saami","Europe",3
"28",53,1,40,18,0,1,"Nenets","Russia",1
"29",54,1,20,0.25,7,3,"Russians","Russia",2
"30",58,3,0,3.25,0,4,"Basseri","Middle East",2
"31",59,6,0,5.25,0,4,"West Punjabi","Asia",1
"32",60,1,20,2,5,3,"Gond","Asia",3
"33",62,4,0,8,0,4,"Santal","Asia",2
"34",64,20,0,20,0.25,2,"Burusho","Asia",2
"35",70,1,0,2,0,4,"Mara","Asia",2
"36",72,0,20,5,0,1,"Rmeet","Asia",2
"37",76,6,10,9.5,0,4,"Central Thai","Asia",1
"38",79,2,0,4,0,4,"Andamans","Asia",1
"39",83,3,0,0,2,4,"Javanese","Oceania",2
"40",85,2,0,2,0.5,4,"Iban","Oceania",1
"41",87,5,20,5,7.5,3,"Eastern Toraja","Oceania",1
"42",91,2,0,2,0,4,"Aranda","Oceania",2
"43",92,0,40,15,0,1,"Orokaiva","Oceania",2
"44",93,7,20,21,0,2,"Kimam","Oceania",1
"45",94,0,20,5,0,1,"Kapauku","Oceania",1
"46",98,3,20,2,6,3,"Trobriands","Oceania",2
"47",99,0,40,3,12,3,"Siwai","Oceania",2
"48",100,7,0,11,0,4,"Tikopia","Oceania",1
"49",102,2,0,1,2,4,"Bau Fijians","Oceania",1
"50",108,1,0,2.5,0,4,"Marshallese","Oceania",1
"51",109,4,0,4.5,0.75,4,"Chuuk","Oceania",1
"52",110,4,0,6,0,4,"Yapese","Oceania",2
"53",112,4,20,9,0,4,"Ifugao","Oceania",1
"54",116,9,20,12.25,5.25,2,"Korea","Asia",3
"55",117,7,40,21.25,0,2,"Okayama","Asia",1
"56",118,0,20,2,6,3,"Ainu","Asia",1
"57",119,0,0,2,0,4,"Nivkh","Russia",2
"58",121,1,20,7,0,1,"Chukchee","Russia",2
"59",124,6,0,12,0,4,"Copper Inuit","North America",1
"60",130,0,20,5,0,1,"Eyak","North America",2
"61",136,0,20,0,5,3,"Yokuts","North America",1
"62",138,2,0,4.5,0,4,"Klamath","North America",1
"63",144,9,0,12,0.5,4,"Huron/Wendat","North America",1
"64",150,4,0,5,0,4,"Havasupai","North America",1
"65",154,1,0,1,0,4,"Popoluca","North America",2
"66",156,0,20,0,5,3,"Miskito","South America",1
"67",159,5,0,6,0,4,"Goajiro","South America",1
"68",162,0,20,0,5,3,"Warao","South America",2
"69",167,0,20,5,0,1,"Tukano","South America",2
"70",168,0,20,0,5,3,"Chachi","South America",2
"71",172,13,0,18,0,2,"Aymara","South America",1
"72",182,6,0,6.5,0,4,"Enxet and Enlhet","South America",2
"73",184,5,0,6,0,4,"Mapuche","South America",1
"74",185,0,0,0.75,0.5,4,"Tehuelche","South America",1
"75",186,0,20,0,5,3,"Yahgan","South America",2
"76",201,10,20,21.25,5.25,2,"Taiwan Hokkien","Asia",1
"77",204,0,20,7,0,1,"Serbs","Europe",1
"78",205,4,0,6,0,4,"Highland Scots","Europe",1
"79",206,0,40,17,0,1,"Dogon","Africa",2
"80",208,3,0,5,0,4,"Libyan Bedouin","Middle East",1
