"","ID","disaster_onset_avg_30","disaster_est_count_30_IA","normative_est_count_30_IA","allhazards_H9a_sev_exposure_30_IA","allhazards_nonfd_sev_exposure2_30_IA","cluster","OWC","eHRAF.Name","Region","DQ"
"1",1,1,1,20,6.5,0,1,"FX13","Khoi","Africa",2
"2",13,2,5,0,7,0.5,1,"FO04","Mbuti","Africa",2
"3",19,1,2,0,0,4.25,1,"FE12","Akan","Africa",2
"4",21,1.5,2,20,7,0,1,"MS30","Wolof","Middle East",2
"5",23,1.5,6,0,9.5,0,1,"FE11","Tallensi","Africa",2
"6",27,1.5,2,20,9,0,1,"FI21","Masa","Africa",2
"7",30,1.5,4,0,4,0,1,"FJ21","Nuba","Africa",2
"8",34,1,3,0,6,0,1,"FL12","Maasai","Africa",1
"9",36,1.25,8,0,11.25,0,1,"MO04","Somali","Middle East",2
"10",37,2,1,20,5,2,1,"MP05","Amhara","Middle East",2
"11",40,1.66666666666667,6,0,8,0,1,"MS22","Teda","Middle East",1
"12",43,2,4,20,10,1,1,"MR13","Fellahin","Middle East",3
"13",46,1.5,2,0,3.5,0,1,"MD04","Rwala Bedouin","Middle East",1
"14",47,1.5,4,0,3,2,1,"MB01","Turks","Middle East",1
"15",58,2,3,0,3.25,0,1,"MA10","Basseri","Middle East",2
"16",59,1,6,0,5.25,0,1,"AT03","West Punjabi","Asia",1
"17",62,1,4,0,8,0,1,"AW42","Santal","Asia",2
"18",70,2,1,0,2,0,1,"AR20","Mara","Asia",2
"19",76,1,6,10,9.5,0,1,"AO07","Central Thai","Asia",1
"20",83,2,3,0,0,2,1,"OE05","Javanese","Oceania",2
"21",85,1,2,0,2,0.5,1,"OC06","Iban","Oceania",1
"22",91,1,2,0,2,0,1,"OI08","Aranda","Oceania",2
"23",100,1.85714285714286,7,0,11,0,1,"OT11","Tikopia","Oceania",1
"24",102,1.5,2,0,1,2,1,"OQ12","Bau Fijians","Oceania",1
"25",108,2,1,0,2.5,0,1,"OR11","Marshallese","Oceania",1
"26",109,2,4,0,4.5,0.75,1,"OR19","Chuuk","Oceania",1
"27",110,1.5,4,0,6,0,1,"OR22","Yapese","Oceania",2
"28",112,1,4,20,9,0,1,"OA19","Ifugao","Oceania",1
